identifiant	Regime_prioritaire	Regime_particulier	Arrondissement	Zone_Residentielle	Tarification	Type_de_voie	Nom_de_la_voie	Parite	Longueur	Longueur_calculee	Signalisation_horizontale	Signalisation_verticale	Conformite_signalisation	Plage_horaire_1-Debut	Plage_horaire_1-Fin	Plage_horaire_2-Debut	Plage_horaire_2-Fin	Date_du_releve	Derniere_date_edition	Code_Voie_Ville_de_Paris	Numero_Sequentiel_Tronçon_Voie	Zone_ASP	Numero_Section_Territoriale_de_Voirie	geo_point_2d
603904G20100618102652	INTERDIT	Arret_vigipirate_perennise	20	20E	2.40	RUE_DE_LA	MARE	Impair	55.15	55.15	Absente	Avec_panonceau	Conforme					2020-07-30	2020-08-14	5964	1750603550	20Z1	7	48.8699373742,2.38893254014
211903D20101008080312	INTERDIT	Arret_simple	18	18M	2.40	SQUARE_DE	CLIGNANCOURT	Pair	7.71	7.71	Presente	Sans_panonceau	Conforme					2020-08-31	2017-10-11	2119	750594004	18Z4	5	48.8934115984,2.3469958065
974303G20110830145117	INTERDIT	Arret_genant_divers	15	15X	2.40	BOULEVARD	VICTOR	Impair	40.20	40.20	Presente	Avec_panonceau	Conforme					2020-08-31	2017-12-04	9750	1750615715	15Z5	3	48.8347737632,2.28320457204
144302D20110523111401	INTERDIT	Arret_genant_divers	8	8H	4.00	RUE	CAMBACERES	Pair	93.21	93.21	Absente	Avec_panonceau	Conforme					2020-08-31	2017-06-21	1435	750602426	08Z3	5	48.8737177548,2.31779572726
365914G20111130134216	INTERDIT	Stationnement_genant	19	19E	2.40	AVENUE_DE	FLANDRE	Impair	3.45	3.45	Absente	Avec_panonceau	Conforme					2020-08-31	2020-01-08	3673	1750597185	19Z2	6	48.8932514693,2.37989724276
959705D20110607150412	INTERDIT	Stationnement_genant	7	7M	4.00	RUE_DE	VARENNE	Pair	53.76	53.76	Absente	Avec_panonceau	Conforme					2020-08-31	2017-06-19	9653	750609138	07Z3	3	48.8548686563,2.32040460145
128401G20100706151902	INTERDIT	Stationnement_simple	4	4E	4.00	RUE_DE	BRETONVILLIERS	Impair	14.51	14.51	Presente	Absente	Conforme					2020-08-31	2019-06-27	1290	1750610708	04Z3	1	48.8508490973,2.35893735213
509902G20130624162946	INTERDIT	Stationnement_genant	17	17G	2.40	PLACE	JULES_RENARD	Inconnu	39.66	39.66	Absente	Absente	SV_Non-conforme					2020-08-31	2017-12-04	4967	750594327	17ZD	5	48.8844234081,2.2890012179
894106D20100426154156	INTERDIT	Arret_vigipirate_perennise	11	11F	4.00	RUE	SERVAN	Pair	16.75	16.75	Absente	Avec_panonceau	Conforme					2020-08-31	2017-07-25	8574	750606104	11Z2	7	48.8633514237,2.38154091428
613001D20100729104703	INTERDIT	Stationnement_genant	10	10F	4.00	RUE	MARTEL	Pair	34.61	34.61	Absente	Avec_panonceau	Conforme					2020-08-12	2020-08-28	6050	750602372	10Z2	6	48.8735768125,2.35281243999
289201G20110927133542	INTERDIT	Arret_genant_divers	16	16F	2.40	RUE_DU	DOME	Impair	74.13	74.13	Abime	Sans_panonceau	SV_Non-conforme					2020-08-31	2017-10-27	2915	1750594645	16Z1	4	48.8713950323,2.2914506736
